Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveller Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Exceptional,,"Everything was perfect.. Location, room, gym, breakfast..",10.0,October 2023,31 October 2023,Small Room,2,Couple,8.3,1,0,1,0,0,0,1,0,1,0,0.0010467316829847174
Comfort and lovely,Everything was perfect,"Perfect location at the harbour! We were offered an upgrade to our room with a wonderful view to the city and the mountains. So beautiful! The room was big and spacious, comfortable big bed, the curtains were keeping the room dark at night, so no issues with the midnight sun. It was quiet at all times and very clean. Lovely toiletries. The breakfast was nice too. I would totally come back and stay there again.",10.0,July 2023,20 July 2023,Small Room,2,Couple,8.3,1,0,1,0,0,0,1,0,1,0,0.0010467316829847174
perfect once in a lifetime holiday and would reccomend the hotel,,"excellent location, cozy rooms, great breakfast and facilities",10.0,December 2022,23 December 2022,Small Room,4,Couple,8.3,1,0,1,0,0,0,1,0,1,0,0.0010467316829847174
A comfortable hotel in Tromso.,A bar or coffee shop in reception would have given  the hotel more atmosphere.,"Great location , the view from our room was fantastic. The hotel  was clean and light , there were lots of windows to enable great views. 
Three lifts so no waiting to get up or down. 
Nice fire and seating in the lobby .
Quiet and comfortable .
we enjoyed the pub and pizza restaurant next door.",8.0,November 2021,19 November 2021,Superior Room with Sea View,4,Couple,8.3,1,0,1,0,0,0,1,0,1,0,0.0010467316829847174
Very good hotel near the port and city center,"No information folder in the room of the hotel itself where relevant phone numbers or breakfast times, ... is given","Very friendly and helpful staff at the front desk !!
Sup. room with view to Tromsbridge and ice cathedral is awesome !!
Hurtigruten port and city center nearby.
Tromso Safari desk in the lobby where you can book tours. The meeting point is also in the lobby.",9.0,February 2022,17 February 2022,Premium Room with Sea and Mountain View,5,Couple,8.3,1,1,1,0,1,0,0,1,1,0,0.0010455703410318378
Very good,"Room quite small
Breakfast ordinary","Great location
Nice view from room
Good lobby area to relax
Friendly and helpful staff",8.0,March 2023,21 May 2023,Standard Room with Sea View,3,Family,8.3,1,1,1,0,1,0,0,1,1,0,0.0010455703410318378
Best View and Staff,"I didn't like the housekeeping, there was always something they didn't do or didn't refill.

The so called ""Room Service Restaurant"" Yonas , has one of the worst pizzas ever and too expensive not worth it!","The Check-In process was very smooth, Frank Antonio was amazing and friendly. Nicholas was very helpful and kind. In general every front disk staff member was very nice and respectful.

The room was incredible the view was 10/10 , the bed was very comfortable and the floor was quite (5th floor). 
I loved the location.",10.0,September 2023,15 September 2023,Standard Room with Sea View,3,Couple,8.3,1,1,0,0,1,1,0,1,1,0,0.0010446079973238525
I love the Artic Capital,"I really can't say that there is something that I don't like, there may be things that are not right, but from my point of view and what I could see, everything is fine, maybe I'm not very picky but I loved the stay, and the treatment was so nice that any defect is left behind without being noticed.","It was amazing, since the arriving to the Hotel till the moment we left.  From the moment of arrival, the welcome at reception was fabulous, the young man who attended us realized that we spoke Spanish and kindly explained everything to us in Spanish, that's extra because you don't need to do it, which I really appreciate. The cleanliness of the hotel is very good, from the outdoor areas where you can walk near the hotel without the danger of falling through the snow to the bathrooms in the rooms, which are magnificent. We had not asked for breakfast included in the reservation and the guy at the reception advised us to take it, very grateful because the breakfast is fantastic, they have from fresh fruits to a good selection of dishes from different places. Spectacular and the exceptional waitresses treatment . The location is perfect, close to all the important points of the city, a center of tourist attractions, you don't have to walk far in the cold to take the bus to the tours and very close to the Hurtigruten terminal, which is very effective. In addition to the proximity to the best restaurants in the area. By the way very nice. Something that I cannot ignore is the fact that the hotel treats the employees very well and in this way they work kindly and without the need to depend on the tips of the clients, as it happens in other places, that is wonderful. I loved talking with the hotel staff who kindly took the time to explain details of the city that we would not have known. Fanally I have to say: Yes, you can see the Aurora Borealis from Tromso.",10.0,February 2023,27 February 2023,Superior Room with Sea View,4,Couple,8.3,1,0,1,0,1,0,1,0,1,1,0.0010374481354813955
I would highly recommend this hotel when arriving to Tromso,"There is no free parking at the hotel and all the other parking lot are very expensive.
Before checking out the cleaning staff knocked on our door and entered the room
even though we told them not to.","The breakfast was Great.
The location was just in the city center.
The staff the reception was very kind.
The view from the sauna is very nice.",9.0,August 2022,27 September 2022,Standard Room with Sea View,2,Solo traveller,8.3,0,1,0,1,1,1,1,0,1,0,0.0010371593168700217
"Short stay, but very nice city centre hotel.","Not a great view from the room, but did not expect one.",Great central location and attentive staff.  Breakfast buffet excellent.  Airport bus stops and starts right outside.,8.0,May 2023,6 August 2023,Standard Room,3,Solo traveller,8.3,0,1,0,0,1,0,1,0,1,1,0.0010329015036423805
"perfect location, beautiful views and tasty breakfast","Some stuff needs to be renovation. In our room was broken speaker (in the ceiling), we told the employee, but no one came to fix it, also the first days no one came to us to clean the room, it was very strange, me and my husband  had a room with 2 separate beds, but I booked one king size, but we were tired and did not want to solve this problem.","We had a good time there. So nice and friendly staff, incredible breakfast, nice gym and sauna with a beautiful view, perfect location.",8.0,February 2023,1 March 2023,Small Room,4,Couple,8.3,0,1,1,0,1,1,1,0,1,0,0.0010324343506129807
Superb,"the breakfast was very crowded and not quite as stocked and tidy as the scandic and Thon hotels we’d stayed at on this trip. it was all delicious, just disorganized.","great location, super comfy bed, tasty breakfast",9.0,June 2023,2 June 2023,Standard Room,1,Couple,8.3,1,0,0,1,0,0,1,1,1,0,0.00102540866093515
Very good value for money in a central location.,,Size of the room. Sitting area. The view. The location. The staff.,9.0,June 2022,16 July 2022,Superior Room with Sea View,2,Solo traveller,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190918
wonderful time celebrating light of the midnight sun.,,"I was  upgraded to a room with a view to the fjord.
friendly staff advised me on interesting places to go to and see.",10.0,July 2022,5 September 2022,Small Room,7,Solo traveller,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190916
"excellent location, helpful staff, good breakfast and comfortable room",nothing,"comfortable room, friendly staff and great location",9.0,December 2022,27 December 2022,Junior Suite,4,Family,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190916
Exceptional,,"Amazing view, everything clean and the staff was always helpful.",10.0,December 2023,7 December 2023,Superior Room with Sea View,2,Couple,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190916
Excellent stay in Tromso,,"Super comfortable bed, we got an upgrade too.  Helpful staff and brilliant location.",9.0,January 2024,26 January 2024,Small Room,1,Family,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190916
Exceptional,,"Great location. Comfortable beds. Lovely staff on front desk, helpful and friendly.",10.0,April 2024,10 April 2024,Small Room,3,Solo traveller,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190916
Mesmerizing,,"As always, you can never go wrong with Radisson Blu. Everything was awesome. Very professional staff and very supportive (as in every Radisson Blu hotel). The room with mountain and see view was extraordinary.
The location is 5 min. walk from the main walking street, Storgata.
I would definitely recommend Radisson Blu, not only from Tromso, but from all around the world.
Thank you!",10.0,April 2023,19 April 2023,Small Room,4,Solo traveller,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190916
Lovely short stay. Everything was great and the staff were lovely,Everything was great!,"Great location, clean, staff were lovely",9.0,December 2023,19 December 2023,Standard Room with Sea View,1,Couple,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190916
As luxurious as it gets in the beautiful arctic circle,Nothing,"Very clean, professional staff, beautiful location.",8.0,February 2024,20 February 2024,Standard Room with Sea View,3,Solo traveller,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190916
The staff is friendly and approachable. The view from the window is beautiful. Clean and comfortable,All are good.,The staff is friendly and approachable. The view from the window is beautiful. Clean and comfortable room.,9.0,April 2023,13 April 2023,Standard Room with Sea View,2,Family,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190916
Excellent! Can't wait to go back!,,"The hotel is very well located and the whole feel of it is amazing. The staff is incredibly helpful and friendly. The room was beautiful, warm and had an amazing view. Overall we were extremely happy with our stay.",10.0,February 2022,23 February 2022,Superior Room with Sea View,1,Family,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190916
Superb,,"Comfy beds, great location. Christian on reception was especially friendly and helpful",9.0,November 2022,1 December 2022,Standard Room,1,Group,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190916
UNBELIEVABLE EXPERIENCE,Excellence means just that and definitely NO NEGATIVE COMMENTS,"Everything 
FRONT DESK FANTASTIC, FRIENDLY AND CARING
POSITION UNBELIEVABLE 
ROOM PERFECT, COMFORTABLE AND A MAGICAL VIEW 
GREAT VALUE FOR MONEY",10.0,April 2022,11 April 2022,Small Room,4,Solo traveller,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190916
would stay here again,nothing,"location, clean great staff hood value. beautiful view",10.0,October 2022,13 October 2022,Premium Room with Sea and Mountain View,2,Couple,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190916
Superb,,"Great staff, clean room with great view of the sea.",9.0,April 2023,11 April 2023,Standard Room with Sea View,4,Solo traveller,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190916
Exceptional,was a bit pricey,"good location, clean &tidy, great staff",10.0,January 2023,27 January 2023,Small Room,3,Couple,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190916
Exceptional,,Excellent. Stayed twice previously. Comfy beds and pillows. Great location. Nice staff,10.0,April 2024,13 April 2024,Superior Room with Sea View,1,Solo traveller,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190916
Exceptional,,"My girlfriend and I have booked 6 nights at Radisson Blu, the rooms were very clean and comfortable, and what we liked even more than that was the staff, we had a credit card problem that have delayed our payment by two days, and the staff were super understanding they let us stay regularly until we fix our problem and we really appreciate it. Also, the location was close to every single thing we needed. Definitely would recommend on staying there. :)",10.0,January 2023,25 January 2023,Small Room,7,Couple,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190916
Exceptional,,"Great location, comfortable and clean. Staff were helpful and friendly.",10.0,October 2023,21 October 2023,Small Room,3,Couple,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190916
The hotel made our trip,,"Fabulous sea view and mountain from our room's window, great location, and friendly staff.",8.0,June 2023,24 June 2023,Standard Room with Sea View,2,Couple,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190916
fantastic stay with a great breakfast,nothing,"friendly, clean, central",10.0,November 2021,16 November 2021,Small Room,2,Couple,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190916
"Stayed here a few years ago as well, looking forward to stay here again at my next Tromsø visit!",,"Great location, friendly and helpful staff, clean room.",8.0,July 2023,10 August 2023,Standard Room with Sea View,4,Family,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190916
Exceptional,,"I had the pleasure of experiencing one of the most breathtaking and unforgettable aspects of my visit - the panoramic views from my room. The picturesque scenery that unfolded before my eyes was nothing short of spectacular, offering a combination of natural beauty that left a lasting impression. Moreover, one of the added charms of this view was the presence of the famous Arctic Cathedral. This iconic architectural masterpiece stood tall and proud on the horizon
The exceptional service provided by the hotel staff further enhanced my stay. From the moment I arrived, I was greeted with warm smiles and a genuine willingness to assist with any needs or questions I had. The staff's helpfulness truly made me feel welcomed and valued as a guest.",10.0,October 2023,23 October 2023,Premium Room with Sea and Mountain View,1,Family,8.3,1,0,0,0,1,0,0,0,1,0,0.0010251632815190916
would recommend it to others in a heartbeat,"there was limited tea bags, sugar and only creamer! very fussy complaint! but my only complaint!",excellent location and very helpful staff. the breakfast buffet was very good,8.0,June 2022,30 June 2022,Family Room (2 Adults + 2 Children),2,Family,8.3,0,0,0,0,1,0,1,0,1,0,0.0010249716083838155
Exceptional,Nothing. Highly recommended!,"Breakfast, staff, service, location, value for money, the VIEW from the hotel were SUPERB! Most tour pick up is just outside the hotel. Close to everything! Easy access from airport by ordinary bus (there’s an express bus which is more expensive).",10.0,March 2022,13 March 2022,Small Room,2,Couple,8.3,0,0,0,0,1,0,1,0,1,0,0.0010249716083838155
Upon our arrival we were greeted by Northern lights ! The rest of the stay was equally magical,I liked everything!,Location is excellent ! Hotel interior is very nice and breakfast is exceptional ! Staff in the restaurant is very friendly and choice of food is remarkable ( quality and variety ),10.0,January 2024,24 January 2024,Standard Room,4,Group,8.3,0,0,0,0,1,0,1,0,1,0,0.0010249716083838155
Would highly recommend.,Liked everything.,"Great location, great view, great breakfast, great staff.",10.0,February 2022,19 March 2022,Standard Room,3,Couple,8.3,0,0,0,0,1,0,1,0,1,0,0.0010249716083838155
beautiful,everything was great,"we got an upgrade as we were celebrating some good news
the breakfast had a great variety as usual
the staff were accomodating to my needs
the location was central and with a magnificent view",10.0,April 2022,18 April 2022,Standard Room,1,Family,8.3,0,0,0,0,1,0,1,0,1,0,0.0010249716083838155
Excellent stopover at the beginning and end of our trip to Northern Norway,,"Quite, central, friendly staff and very good breakfast",10.0,July 2023,18 July 2023,Standard Room,2,Couple,8.3,0,0,0,0,1,0,1,0,1,0,0.0010249716083838155
Pre cruise,,Location service and the best breakfast in Tromso,10.0,August 2023,8 August 2023,Small Room,2,Family,8.3,0,0,0,0,1,0,1,0,1,0,0.0010249716083838155
Exceptional,,"Everything was very nice and comfortable, the view was beautiful and breakfast delicious. The staff was very helpful and friendly too.",10.0,April 2022,27 April 2022,Standard Room,1,Family,8.3,0,0,0,0,1,0,1,0,1,0,0.0010249716083838155
we come back😊,✌️,"Everything was perfect!! The location is very good, everything is near, the breakfast was delicious, the staffs are kind.",9.0,March 2022,30 March 2022,Superior Room with Sea View,5,Family,8.3,0,0,0,0,1,0,1,0,1,0,0.0010249716083838153
Great location for visiting Tromso,,Central location.  Close to a very good restaurant. Staff was very helpful.,9.0,August 2023,28 August 2023,Standard Room,1,Group,8.3,0,0,0,0,1,0,1,0,1,0,0.0010249716083838153
"Excellent hotel in the town center, great friendly stuff, fantastic breakfast, good value for the money.",,"Great location, everything’s in a walking distance. Excellent breakfast with the vegan option. I have to say that the Fredrik from reception was super friendly, kind and helpful - they lost my bag at the airport and he gave me all the necessary information. Of course I had a million questions as the first time Tromso visitor but he was always patient and really helpful. Thanks Fredrik!",9.0,June 2022,21 June 2022,Small Room,4,Solo traveller,8.3,0,0,0,0,1,0,1,0,1,0,0.0010249716083838153
Very comfortable and great location,,"Location 
Staff
All you can eat breakfast",8.0,October 2021,24 October 2021,Standard Room,3,Couple,8.3,0,0,0,0,1,0,1,0,1,0,0.0010249716083838153
Superb,Nothing to complain about.,Excellent location. The staff was very friendly and offered us an upgrade when the was a problem with one of the light switches. Very descent breakfast. The town is very friendly and beautiful.,9.0,November 2021,19 November 2021,Premium Room with Sea and Mountain View,3,Couple,8.3,0,0,0,0,1,0,1,0,1,0,0.0010249716083838153
Fab Stay in a Great Location,,"Staff were really helpful with any request or query. Excellent location for all main excursions and for main areas of interest including shops, brewery and harbour area. Breakfast was great too.",9.0,December 2023,28 December 2023,Standard Room,4,Couple,8.3,0,0,0,0,1,0,1,0,1,0,0.0010249716083838153
Good,,Great central location. Great breakfast. Friendly and helpful staff.,7.0,August 2023,29 August 2023,Standard Room,4,Solo traveller,8.3,0,0,0,0,1,0,1,0,1,0,0.0010249716083838153
Good stay,At the time of our stay there was a student party celebrating end of exams or something on the 2nd floor.  Although it only went on to 23.00 hrs  the Music was far to loud.  It was reverberating up to the 5th floor and beyond.,Breakfast choice was excellent.  Staff were extremely helpful throughout the hotel. Location is outstanding.,8.0,February 2023,20 February 2023,Premium Room with Sea and Mountain View,4,Couple,8.3,0,0,0,0,1,0,1,0,1,0,0.0010249716083838153
Superb,,"Great location and very professional and friendly staff, nice breakfast, good value for money😁👍☀️",9.0,October 2021,1 October 2021,Standard Room,1,Couple,8.3,0,0,0,0,1,0,1,0,1,0,0.0010249716083838153
Good,,The breakfast is good. Hotel staff was kind. Easy to walk to shopping center or restaurant.,8.0,November 2023,18 November 2023,Small Room,3,Couple,8.3,0,0,0,0,1,0,1,0,1,0,0.0010249716083838153
Superb,there is nothing I would change,"Great location, easy walk to places of interest. We had a lovely view of the port and mountain.
Breakfast was exceptionally good with friendly staff.",9.0,May 2023,5 June 2023,Superior Room with Sea View,2,Couple,8.3,0,0,0,0,1,0,1,0,1,0,0.0010249716083838153
great location & breakfast,nothing - all was good,"overall good quality, good breakfast, good location, good staff",8.0,February 2023,28 February 2023,Standard Room with Sea View,4,Couple,8.3,0,0,0,0,1,0,1,0,1,0,0.0010249716083838153
Value for money,not really. everything was okay.,"Prime location .. all tours has a pick up or start from here.. all attractions near by walkable . Bus services are there from airport as well which takes 100 NKR I guess. 
For Indians, an Indian restaurant is also very near by .",9.0,December 2021,14 January 2022,Superior Room,2,Family,8.3,0,0,0,0,1,0,1,0,1,0,0.0010249716083838153
"Central, good value for money","Breakfast selection for vegetarians (and vegans especially) is quite limited. Would be nice to have a better selection of veggies.
Some dust in the room corners below the desk","Very central location, and comfortable beds
Internet connection is pretty fast, there's a large desk
Sauna is a nice addition",8.0,April 2023,17 April 2023,Standard Room with Sea View,2,Solo traveller,8.3,1,1,0,0,0,0,0,1,1,0,0.0010235252047911623
Superb,"Not sure why breakfast was not included in the price of the room, but it was available for little bit extra.",Location and the views from the hotel were amazing. The room was small but clean. You don't need more if you are solo traveller.,9.0,November 2023,29 November 2023,Small Room,1,Solo traveller,8.3,1,1,0,0,0,0,0,1,1,0,0.0010235252047911623
If I go back to Tromso this will be my hotel,The room was really small. No breakfast included.,"Probably the best hotel in my 15 days in Norway this year and it was not the most expensive of them. I enjoyed a lot the intelligent design of the room, small but perfect and probably the best location in Tromso. Perfect check-in system.",10.0,August 2022,20 August 2022,Small Room,1,Solo traveller,8.3,1,1,0,0,0,0,0,1,1,0,0.0010235252047911623
lovely base for a magical place,breakfast was a bit chaotic and there wasn’t a huge range of things to choose from AND no tea bags which is a crucial part of any morning - but these are super minor and didn’t detract from the stay (there were tea bags in the room),"lovely place to stay in tromso, right in the centre and with incredible views. room was warm, cosy and clean and nice and quiet despite the hotel seeming quite busy.",9.0,November 2022,16 January 2023,Small Room,1,Solo traveller,8.3,1,1,0,0,0,0,0,1,1,0,0.0010235252047911623
Superb,"Difficult to cool down the room, A/C not working. 
Only 1 coffee machine at breakfast, therefore waiting time to get hot drink.",Good location. Excellent breakfast.,9.0,July 2023,19 July 2023,Standard Room with Sea View,1,Family,8.3,0,1,0,0,0,0,1,1,1,0,0.0010233591815049172
It was OK,"No drawers or cupboards in room for clothing

Good buffet breakfast, but only sell pizza in restaurants","Breakfast and location, Good",7.0,February 2023,11 February 2023,Superior Room with Sea View,4,Couple,8.3,0,1,0,0,0,0,1,1,1,0,0.0010233591815049172
Superb,"Due to our flight schedule we needed a breakfast bag on the last morning, which could/should have been much better!",Breakfast buffet was very varied and very good. Despite that we had a very small room it was very cozy and comfortable. Tea and coffee making facilities in the room. Nice view from the 10th level. Good and central located for many activities.,9.0,February 2023,12 February 2023,Small Room,3,Couple,8.3,1,0,1,0,0,0,1,1,1,0,0.0010202328207847369
Superb,The heating made a noise all night. It was like someone was having a shower in our room!,Location and nice view from our room.,9.0,January 2024,13 January 2024,Small Room,1,Couple,8.3,1,1,0,1,0,0,0,0,1,0,0.0010145685285732056
a great place in a great town,"need longer gym hours. especially with the early tours it would have been nice to get a little workout in. also the bar next to the hotel is great but can get really loud especially if you are facing the harbor, mountains. one night it went until 2am. maybe have louder fans in the rooms for white noise.","great location, bed very comfortable. great shower.",8.0,January 2023,31 January 2023,Premium Room with Sea and Mountain View,3,Family,8.3,1,1,0,1,0,0,0,0,1,0,0.0010145685285732056
excellent,"the heater didn’t work in the room, a spare was provided but only after a couple hours of the room not heating up. we got engaged whilst staying and I had paid for extras in the room but sadly no ‘freebies’ thrown in that you often see done by other places.","the hotel is phenomenal, it’s location and the rooms can’t be improved.",8.0,February 2023,6 February 2023,Small Room,3,Couple,8.3,1,1,0,1,0,0,0,0,1,0,0.0010145685285732056
Great stay in Tromsø,"Small bathroom, no parking available.","Location next to the harbor and city center. There are a lot of choices at breakfast with fresh, made eggs.",9.0,September 2023,1 September 2023,Small Room,1,Solo traveller,8.3,0,1,0,1,0,0,1,0,1,0,0.001014402496437216
Very central location,No parking for the guests.,Big comfortable room and central location (most of the tours meeting points are directly next to the hotel). Very good breakfast. Well equipped gym with beautiful view.,8.0,January 2022,7 January 2022,Standard Room,3,Couple,8.3,1,0,1,1,0,0,1,0,1,0,0.001012221771404296
Guests could see directly to our room,"Our room was small. It was located next to walking bridge with window opening to the bridge, therefore everybody walking on the bridge could see directly to our room! There was no space for clothes. Shower was in a bath, which is inconvenient and dangerous. We stayed only over night, and therefore I reserved a basic room. Even then, I would expect to find such rooms in one star hotel...",Location is good. Service is effective. Bed was good.,3.0,February 2022,10 February 2022,Standard Room,1,Couple,8.3,1,1,0,1,1,0,0,0,1,1,0.0010111861454753291
Tromso Radisson Blu very well located with excellent service,"We paid premium Norwegian rate for a superior room with a sea view, it was excellent and close to a very well equipped gym with outstanding views of the fjords and local mountains. However when you are staying for a week, you need some drawer storage.","on the water front, central to Tromsø, lots of good eateries, cafés and museums. Friendly helpful staff, excellent breakfast buffet catering for all diets.",8.0,February 2023,14 February 2023,Superior Room with Sea View,6,Couple,8.3,0,1,0,1,1,0,1,0,1,1,0.0010110505648702139
Excellent location but more customer care needed to bring it on a par with other Radisson Blu hotels I’ve stayed at.,check-in took 30 minutes; room was rather small; no milk for tea; bedding was not changed during our stay and floor was not vacuumed during our 4 night stay.,excellent location. Room had a bath with shower- great for warming up after freezing outside; on-line check-out avoided the tedious queues; gym was good.,7.0,December 2022,10 December 2022,Standard Room,4,Family,8.3,1,1,1,0,0,0,0,0,1,0,0.0010087818521057339
Great spot for exploring Tromso,No coffee machine in room or car park.,Clean comfortable spacious room with fab view. Fast lifts and attached pub with live music was a bonus,9.0,June 2024,23 June 2024,Standard Room with Sea View,1,Couple,8.3,1,1,1,0,0,0,0,0,1,0,0.0010087818521057339
Needs a bit more care in basics,"Lots of dust in specific spots in the room (like behind the TV, on the top of the back of the bed. Nail polish leftovers on the table. There was no soap at all when we arrived and we had to ask for soap/shampoo by calling the reception.",Good location and view. Room was spacious.,6.0,August 2022,21 August 2022,Small Room,1,Family,8.3,1,1,1,0,0,0,0,0,1,0,0.0010087818521057339
Bad,"1. Hidden and secret charges. I noticed some amount deducted from y card after i had checked out the hotel. Not only is this unethical but also amounts to fraud. Since i had already left for airport i could do little.

2. The hotel didn't allow checkin even at the prescribed time of 1500 hours and made us wait for an extra time.","Location is excellent. Literally at the city center. Hotel also has access to Great Artic tour and aite seeing which is available in the Hotel Lobby.

Also loved the breakfast. Lots of options",1.0,December 2022,2 January 2023,Standard Room,1,Family,8.3,0,1,1,0,0,0,1,0,1,0,0.0010086158280718184
overall good but lack of attention to details and stuff not really helpful,"no attention to details (ie. missing slippers) and the staff not willing to go the extra mile to help the customers. this 2 details are expected from a 4 stars hotel and especially a radisson blu.

also the windows of the hotel don’t allow much privacy as anyone can see from the outside (also from the inside hall you can see some room interiors)","location, breakfast, view, free upgraded",6.0,March 2022,1 April 2022,Small Room,4,Couple,8.3,0,1,0,0,0,1,1,0,1,0,0.0010074370879249355
"Great location, great breakfast. Have zero expectations on staff!",Cosy room is a little too small.. no wardrobe etc. Staff will answer yes and no to questions but don’t offer any further guidance to anything…needed to drag information out of them was a little annoying!,"Breakfast was great, so many options! Very central location.",8.0,February 2023,8 February 2023,Small Room,4,Couple,8.3,0,1,0,0,0,1,1,0,1,0,0.0010074370879249355
Good,"Dirty room. Notified the staff, but they didn't clean what I told them about in the room. Hard bed with to soft pillows","Good location, good breakfast",7.0,August 2021,3 August 2021,Standard Room,4,Couple,8.3,0,1,0,0,0,1,1,0,1,0,0.0010074370879249355
Amazing hotel in Tromsø city center,"Unfortunately we first got a dirty room, that the staff promptly changed into a new upgraded room","The view on the port and mountains from the junior suite at the 5th floor is amazing
Great continental breakfast",10.0,August 2022,13 September 2022,Premium Room with Sea and Mountain View,3,Couple,8.3,0,1,0,0,0,1,1,0,1,0,0.0010074370879249353
Modern practical city hotel,E mail request for online pre check in brings extra work without benefit (should be ignored); reception staff is not trained  how to help in special situations,"Very comfortable beds, modern rooms, great variety at breakfast, well located in the city center, nice small sauna with view on the fjord, tour operator office at main lobby, all in all a modern, and comfortable city hotel",8.0,November 2021,1 November 2021,Superior Room with Sea View,3,Couple,8.3,1,0,1,0,0,1,1,0,1,0,0.001005991734088868
Nice weekend getaway,the staff was quite under informed in some aspects.,The breakfast was impressive! It’s noticeably that they’ve been using high quality ingredients. The sourdough bread was top notch. The room was spacious and clean and the view from the room was spectacular!,10.0,September 2021,25 September 2021,Superior Room with Sea View,1,Family,8.3,1,0,1,0,0,1,1,0,1,0,0.0010059917340888677
Wished I could have stayed longer.,Difficulty to find the entrance,"A great location for the boat terminal, the center of town and we had a room with a fantastic view.",10.0,August 2022,2 August 2022,Standard Room,2,Couple,8.3,1,0,0,0,0,0,0,0,1,0,0.0009942271380958868
Great stay for a few days,Had to wait 20 minutes to check-in. Only one person available at the time and a long line,Central location in Tromso. Decent size room,8.0,September 2021,14 September 2021,Standard Room,1,Solo traveller,8.3,1,0,0,0,0,0,0,0,1,0,0.0009942271380958868
Perfect location and good position in the heart of Tromso,,Location and rooms very comfortable,10.0,December 2022,18 December 2022,Small Room,2,Couple,8.3,1,0,0,0,0,0,0,0,1,0,0.0009942271380958868
Exceptional,,"Great location 
Fantastic room size",10.0,July 2022,8 July 2022,Small Room,3,Couple,8.3,1,0,0,0,0,0,0,0,1,0,0.0009942271380958868
Exceptional,,"Location, comfortable bed.",10.0,May 2023,10 May 2023,Small Room,1,Family,8.3,1,0,0,0,0,0,0,0,1,0,0.0009942271380958868
Exceptional,Nothing,"Wonderful location, easy to find and excellent room",10.0,January 2022,13 February 2022,Standard Room,1,Family,8.3,1,0,0,0,0,0,0,0,1,0,0.0009942271380958868
valuable,no,"Super nice! we booked 2 small rooms, but we didn’t imagine that clean, close to
center, and even have harbor view.",10.0,November 2021,25 November 2021,Small Room,3,Group,8.3,1,0,0,0,0,0,0,0,1,0,0.0009942271380958868
Really enjoyed our stay in this city. Visited the Arctic Cathedral and a few other landmarks.,,Location was perfect as we were cruising from Tromso a few days after our stay and we were right at the dock. The view from our room was good.,8.0,July 2022,15 August 2022,Standard Room with Sea View,3,Couple,8.3,1,0,0,0,0,0,0,0,1,0,0.0009942271380958868
excellent,,location and comfy bed,10.0,November 2021,1 December 2021,Small Room,1,Couple,8.3,1,0,0,0,0,0,0,0,1,0,0.0009942271380958868
Enjoyable,,"Very nice room, great view of harbour, great location",10.0,November 2022,5 November 2022,Small Room,1,Couple,8.3,1,0,0,0,0,0,0,0,1,0,0.0009942271380958868
Best place to stay,,"We even saw the strong Aurora light through the hotel room window,  it was just happened in front us for 2 hours. This is the best place to stay when you visit Tromso, it is close to everything, just beside of the water. Room face to the mountain and water has beautiful views.",10.0,February 2022,15 February 2022,Premium Room with Sea and Mountain View,4,Couple,8.3,1,0,0,0,0,0,0,0,1,0,0.0009942271380958868
Exceptional,,"It was one of the best rooms and hotels i have been in my life :) We got an upgrade, so we had a wonderful view over the marina and the beautiful lights of Tromso. It was amazing",10.0,January 2022,16 February 2022,Standard Room,1,Couple,8.3,1,0,0,0,0,0,0,0,1,0,0.0009942271380958868
Exceptional,,Our room had a stunning view - could not ask for better.  As promised overlooked the water and we could see the fjellheisen cable car on the mountains across the way.  Great location!,10.0,January 2024,7 February 2024,Premium Room with Sea and Mountain View,2,Family,8.3,1,0,0,0,0,0,0,0,1,0,0.0009942271380958868
